,Title,Location,Security,Garage,Concierge,Description,Price
19,Charmante villa à hay riad,"Riyad à
				Rabat",0,0,0,"909
					m²//7 Pièces//5 Chambres//4 Salles de bains//Bon état//10-20 ans//909
					m²//7 Pièces//5 Chambres//4 Salles de bains//Bon état//10-20 ans//",8 800 000 DH
20,Villa plein pied à vendre à Souissi,"Souissi à
				Rabat",0,0,0,"1800
					m²//8 Pièces//4 Chambres//3 Salles de bains//Bon état//30-50 ans//1800
					m²//8 Pièces//4 Chambres//3 Salles de bains//Bon état//30-50 ans//",15 000 000 DH
21,Appartement de 130 m² à Rabat Square,"Souissi à
				Rabat",0,0,0,"130
					m²//2 Pièces//2 Chambres//2 Salles de bains//Nouveau//Moins d'un an//130
					m²//2 Pièces//2 Chambres//2 Salles de bains//Nouveau//Moins d'un an//Haut standing//En cours de construction//",3 156 000 DH
22,Villa à vendre à Souissi,"Souissi à
				Rabat",0,0,0,"2170
					m²//19 Pièces//13 Chambres//7 Salles de bains//Bon état//30-50 ans//2170
					m²//19 Pièces//13 Chambres//7 Salles de bains//Bon état//30-50 ans//",18 000 000 DH
23,Villa à vendre à Souissi,"Souissi à
				Rabat",0,0,0,"1997
					m²//11 Pièces//4 Chambres//3 Salles de bains//Bon état//30-50 ans//1997
					m²//11 Pièces//4 Chambres//3 Salles de bains//Bon état//30-50 ans//",13 000 000 DH
24,"Appartement de 140m² avec terrasse en vente, Résidence Aicha","Kébibat à
				Rabat",0,0,0,"140
					m²//4 Pièces//3 Chambres//2 Salles de bains//140
					m²//4 Pièces//3 Chambres//2 Salles de bains//Haut standing//Finalisé//Livraison:
							mars 2022//",
25,Appartement retapé pour investissement,"Hassan - Centre Ville à
				Rabat",0,0,0,"70
					m²//2 Pièces//1 Chambre//1 Salle de bain//Nouveau//5-10 ans//1er
					étage//70
					m²//2 Pièces//1 Chambre//1 Salle de bain//Nouveau//5-10 ans//1er
					étage//",1 050 000 DH
26,Villa à vendre à l’Agdal,"Agdal à
				Rabat",0,0,0,"344
					m²//6 Pièces//4 Chambres//4 Salles de bains//Bon état//20-30 ans//344
					m²//6 Pièces//4 Chambres//4 Salles de bains//Bon état//20-30 ans//",5 600 000 DH
27,Appartement de 131 m2 à Hay Riad,"Riyad à
				Rabat",0,0,0,"131
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//10-20 ans//131
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//10-20 ans//",
28,Appartement retapé à neuf avec 3 façades,"Riyad à
				Rabat",0,0,0,"187
					m²//5 Pièces//3 Chambres//2 Salles de bains//Nouveau//5-10 ans//2ème
					étage//187
					m²//5 Pièces//3 Chambres//2 Salles de bains//Nouveau//5-10 ans//2ème
					étage//",3 600 000 DH
29,Villa à vendre à usage professionnel à Riyad. En face de Asswak assalam avenue benbarka. 5 pièces confortables. Système de parabole et salon marocain,"Riyad à
				Rabat",0,0,0,"780
					m²//5 Pièces//4 Chambres//2 Salles de bains//À rénover//780
					m²//5 Pièces//4 Chambres//2 Salles de bains//À rénover//",11 700 000 DH
30,Jolie villa à vendre située à OLM Souissi Rabat,"Souissi à
				Rabat",0,0,0,"700
					m²//6 Pièces//4 Chambres//4 Salles de bains//Bon état//20-30 ans//700
					m²//6 Pièces//4 Chambres//4 Salles de bains//Bon état//20-30 ans//",7 600 000 DH
31,Belle Villa à vendre quartier des princesses Rabat,"Riyad à
				Rabat",0,0,0,"1800
					m²//9 Pièces//7 Chambres//4 Salles de bains//Bon état//1800
					m²//9 Pièces//7 Chambres//4 Salles de bains//Bon état//",15 500 000 DH
32,Bel appartement à vendre situé à Hay riad Rabat,"Riyad à
				Rabat",0,0,0,"142
					m²//4 Pièces//3 Chambres//2 Salles de bains//Bon état//10-20 ans//1er
					étage//142
					m²//4 Pièces//3 Chambres//2 Salles de bains//Bon état//10-20 ans//1er
					étage//",2 600 000 DH
33,Villa à vendre située à Souissi Rabat,"Souissi à
				Rabat",0,0,0,"2000
					m²//8 Pièces//5 Chambres//4 Salles de bains//Nouveau//1-5 ans//2000
					m²//8 Pièces//5 Chambres//4 Salles de bains//Nouveau//1-5 ans//",13 500 000 DH
34,Ancienne villa à côté avenue Al Melia prix choc,"Souissi à
				Rabat",0,0,0,"2200
					m²//8 Pièces//5 Chambres//4 Salles de bains//À rénover//20-30 ans//2200
					m²//8 Pièces//5 Chambres//4 Salles de bains//À rénover//20-30 ans//",11 000 000 DH
35,Appartement bijoux de Agdal,"Agdal à
				Rabat",0,0,0,"175
					m²//6 Pièces//3 Chambres//4 Salles de bains//Bon état//5-10 ans//3ème
					étage//175
					m²//6 Pièces//3 Chambres//4 Salles de bains//Bon état//5-10 ans//3ème
					étage//",3 200 000 DH
36,Une belle villa luxueuse avec piscine et jardin à souissi,"Souissi à
				Rabat",0,0,0,"2100
					m²//10 Pièces//6 Chambres//6 Salles de bains//Nouveau//10-20 ans//2100
					m²//10 Pièces//6 Chambres//6 Salles de bains//Nouveau//10-20 ans//",14 000 000 DH
37,Villa recente habitable dès le premier jour,"Souissi à
				Rabat",0,0,0,"1999
					m²//8 Pièces//5 Chambres//5 Salles de bains//Bon état//5-10 ans//1999
					m²//8 Pièces//5 Chambres//5 Salles de bains//Bon état//5-10 ans//",11 000 000 DH
38,Belle villa moderne à coté avenue Lalla Merieme,"Souissi à
				Rabat",0,0,0,"2200
					m²//9 Pièces//6 Chambres//7 Salles de bains//Nouveau//5-10 ans//2200
					m²//9 Pièces//6 Chambres//7 Salles de bains//Nouveau//5-10 ans//",13 000 000 DH
39,La villa moderne de lux à hay Riad,"Riyad à
				Rabat",0,0,0,"338
					m²//6 Pièces//3 Chambres//3 Salles de bains//Nouveau//1-5 ans//338
					m²//6 Pièces//3 Chambres//3 Salles de bains//Nouveau//1-5 ans//",7 000 000 DH
40,Villa chouka bonne affaire au secteur 2 hay riad,"Riyad à
				Rabat",0,0,0,"986
					m²//7 Pièces//5 Chambres//5 Salles de bains//À rénover//20-30 ans//986
					m²//7 Pièces//5 Chambres//5 Salles de bains//À rénover//20-30 ans//",8 400 000 DH
41,Appartement à vendre à Hassan duplex loft,"Quartier Administratif à
				Rabat",0,0,0,"330
					m²//6 Pièces//3 Chambres//4 Salles de bains//Bon état//1-5 ans//330
					m²//6 Pièces//3 Chambres//4 Salles de bains//Bon état//1-5 ans//",4 200 000 DH
42,,,0,0,0,,
43,Villa à vendre au quartier Souissi à Rabat,"Souissi à
				Rabat",0,0,0,"2090
					m²//6 Pièces//4 Chambres//3 Salles de bains//Bon état//5-10 ans//2090
					m²//6 Pièces//4 Chambres//3 Salles de bains//Bon état//5-10 ans//",14 000 000 DH
44,Penthouse à vendre à l’Orangeraie du Souissi,"Souissi à
				Rabat",0,0,0,"329
					m²//4 Pièces//3 Chambres//3 Salles de bains//Nouveau//Moins d'un an//4ème
					étage//329
					m²//4 Pièces//3 Chambres//3 Salles de bains//Nouveau//Moins d'un an//4ème
					étage//",7 600 000 DH
45,Villas jumelées à vendre à Souissi,"Souissi à
				Rabat",0,0,0,"2000
					m²//15 Pièces//7 Chambres//7 Salles de bains//Bon état//10-20 ans//2000
					m²//15 Pièces//7 Chambres//7 Salles de bains//Bon état//10-20 ans//",13 000 000 DH
46,Appartement à vendre à Hay Riad,"Riyad à
				Rabat",0,0,0,"163
					m²//5 Pièces//3 Chambres//3 Salles de bains//Bon état//5-10 ans//163
					m²//5 Pièces//3 Chambres//3 Salles de bains//Bon état//5-10 ans//",3 800 000 DH
47,Villa à vendre à Hay Riad,"Riyad à
				Rabat",0,0,0,"600
					m²//8 Pièces//5 Chambres//5 Salles de bains//Bon état//10-20 ans//600
					m²//8 Pièces//5 Chambres//5 Salles de bains//Bon état//10-20 ans//",10 800 000 DH
48,Villa à vendre à Hay Riad,"Riyad à
				Rabat",0,0,0,"523
					m²//6 Pièces//4 Chambres//3 Salles de bains//Bon état//5-10 ans//523
					m²//6 Pièces//4 Chambres//3 Salles de bains//Bon état//5-10 ans//",7 900 000 DH
49,Villa à vendre titré de 200m 3 niveaux ensoleillée toute la journée,"Riyad à
				Rabat",1,0,0,"200
					m²//7 Pièces//4 Chambres//3 Salles de bains//Bon état//200
					m²//7 Pièces//4 Chambres//3 Salles de bains//Bon état//",
50,Vente d'un bel appartement à Prestigia,"Riyad à
				Rabat",0,0,0,"165
					m²//5 Pièces//3 Chambres//3 Salles de bains//À rénover//165
					m²//5 Pièces//3 Chambres//3 Salles de bains//À rénover//",3 600 000 DH
51,Somptueuse villa à vendre à Riyad. 5 belles chambres. Belle terrasse et jardin,"Riyad à
				Rabat",0,0,0,"318
					m²//8 Pièces//5 Chambres//4 Salles de bains//Nouveau//318
					m²//8 Pièces//5 Chambres//4 Salles de bains//Nouveau//",6 700 000 DH
52,Appartement à vendre à agdal,"Agdal à
				Rabat",0,0,0,"117
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//20-30 ans//4ème
					étage//117
					m²//3 Pièces//2 Chambres//2 Salles de bains//Bon état//20-30 ans//4ème
					étage//",1 530 000 DH
53,Un joli Villa d'angle 750m². Trois niveaux,"Riyad à
				Rabat",0,0,0,"750
					m²//7 Pièces//5 Chambres//3 Salles de bains//À rénover//750
					m²//7 Pièces//5 Chambres//3 Salles de bains//À rénover//",
54,Villa à vendre. 2 niveaux. Superficie 1951 m²,"Souissi à
				Rabat",0,0,0,"1951
					m²//7 Pièces//5 Chambres//3 Salles de bains//Bon état//1951
					m²//7 Pièces//5 Chambres//3 Salles de bains//Bon état//",10 000 000 DH
55,Appartement à vendre Prestigia à Riyad Surface de 168 m²,"Riyad à
				Rabat",0,0,0,"168
					m²//5 Pièces//3 Chambres//3 Salles de bains//Nouveau//168
					m²//5 Pièces//3 Chambres//3 Salles de bains//Nouveau//",3 000 000 DH
56,Villa à vendre àhayriad trois niveaux ensoleillée,"Riyad à
				Rabat",0,0,0,"212
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//5-10 ans//212
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//5-10 ans//",4 800 000 DH
57,Superbe appartement a vendre Prestigia Hay riad,"Riyad à
				Rabat",0,0,0,"175
					m²//5 Pièces//3 Chambres//3 Salles de bains//Bon état//5-10 ans//2ème
					étage//175
					m²//5 Pièces//3 Chambres//3 Salles de bains//Bon état//5-10 ans//2ème
					étage//",3 100 000 DH
58,Villa a vendre d'angle sur rabat hayriad de 909m,"Riyad à
				Rabat",0,0,0,"909
					m²//10 Pièces//5 Chambres//3 Salles de bains//Bon état//909
					m²//10 Pièces//5 Chambres//3 Salles de bains//Bon état//",8 900 000 DH
59,Maison de luxe à vendre à Rabat. Superficie 200. M²,"Riyad à
				Rabat",0,0,0,"200
					m²//8 Pièces//4 Chambres//3 Salles de bains//Bon état//200
					m²//8 Pièces//4 Chambres//3 Salles de bains//Bon état//",4 400 000 DH
60,Superbe appartement à vendre à Riyad al Andalous. Superficie 176 m²,"Riyad à
				Rabat",0,0,0,"176
					m²//5 Pièces//3 Chambres//3 Salles de bains//Nouveau//Moins d'un an//2ème
					étage//176
					m²//5 Pièces//3 Chambres//3 Salles de bains//Nouveau//Moins d'un an//2ème
					étage//",
61,Magnifique villa à vendre à Souissi. Bir kasem Surfaçe 2050 m²,"Souissi à
				Rabat",0,0,0,"2050
					m²//8 Pièces//5 Chambres//4 Salles de bains//Nouveau//2050
					m²//8 Pièces//5 Chambres//4 Salles de bains//Nouveau//",
62,Appartement à l'achat à Riyad,"Riyad à
				Rabat",0,0,0,"230
					m²//7 Pièces//4 Chambres//3 Salles de bains//Nouveau//1-5 ans//5ème
					étage//230
					m²//7 Pièces//4 Chambres//3 Salles de bains//Nouveau//1-5 ans//5ème
					étage//",5 000 000 DH
63,Villa à vendre superfiçie 2000m. Sur avenue bir kasem,"Souissi à
				Rabat",0,0,0,"2000
					m²//8 Pièces//4 Chambres//4 Salles de bains//Bon état//2000
					m²//8 Pièces//4 Chambres//4 Salles de bains//Bon état//",12 000 000 DH
64,Villa à vendre pour bureau au habitation,"Riyad à
				Rabat",1,0,0,"200
					m²//8 Pièces//4 Chambres//3 Salles de bains//Bon état//200
					m²//8 Pièces//4 Chambres//3 Salles de bains//Bon état//",4 400 000 DH
65,Une belle appartement en vente Haut standing ensoleillée toute la journée,"Riyad à
				Rabat",0,0,0,"206
					m²//6 Pièces//4 Chambres//3 Salles de bains//Nouveau//206
					m²//6 Pièces//4 Chambres//3 Salles de bains//Nouveau//",
66,Magnifique villa à vendre à Rabat. Souissi,"Souissi à
				Rabat",0,0,0,"2000
					m²//8 Pièces//6 Chambres//4 Salles de bains//Bon état//2000
					m²//8 Pièces//6 Chambres//4 Salles de bains//Bon état//",
67,Villa de luxe à vendre à Riyad. Surface totale 235 m². Climatisation,"Riyad à
				Rabat",0,0,0,"235
					m²//6 Pièces//4 Chambres//3 Salles de bains//Nouveau//235
					m²//6 Pièces//4 Chambres//3 Salles de bains//Nouveau//",6 500 000 DH
68,Villa a vendre de face sur hayriad de 909 m2,"Riyad à
				Rabat",0,0,0,"909
					m²//10 Pièces//5 Chambres//3 Salles de bains//Bon état//909
					m²//10 Pièces//5 Chambres//3 Salles de bains//Bon état//",8 900 000 DH
69,Joli appartement avendre ahayriad,"Riyad à
				Rabat",0,0,0,"144
					m²//6 Pièces//3 Chambres//3 Salles de bains//Bon état//1er
					étage//144
					m²//6 Pièces//3 Chambres//3 Salles de bains//Bon état//1er
					étage//",2 300 000 DH
70,Villa à vendre à hay riad,"Riyad à
				Rabat",0,0,0,"880
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//10-20 ans//880
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//10-20 ans//",10 000 000 DH
71,Appartement avec terrasse à vendre à agdal,"Agdal à
				Rabat",0,0,0,"240
					m²//6 Pièces//4 Chambres//3 Salles de bains//Bon état//5-10 ans//4ème
					étage//240
					m²//6 Pièces//4 Chambres//3 Salles de bains//Bon état//5-10 ans//4ème
					étage//",4 000 000 DH
72,Appartement a vendre a Prestigia,"Riyad à
				Rabat",0,0,0,"140
					m²//3 Pièces//2 Chambres//2 Salles de bains//Nouveau//5-10 ans//140
					m²//3 Pièces//2 Chambres//2 Salles de bains//Nouveau//5-10 ans//",2 600 000 DH
73,Villa à vendre à hay riad,"Riyad à
				Rabat",0,0,0,"530
					m²//6 Pièces//3 Chambres//3 Salles de bains//Bon état//10-20 ans//530
					m²//6 Pièces//3 Chambres//3 Salles de bains//Bon état//10-20 ans//",7 900 000 DH
74,Appartement à vendre le haut agdal,"Haut Agdal à
				Rabat",0,0,0,"181
					m²//6 Pièces//3 Chambres//3 Salles de bains//Bon état//20-30 ans//6ème
					étage//181
					m²//6 Pièces//3 Chambres//3 Salles de bains//Bon état//20-30 ans//6ème
					étage//",3 300 000 DH
75,Vente Villa Rabat Souissi,"Souissi à
				Rabat",0,0,0,"1900
					m²//8 Pièces//4 Chambres//1 Salle de bain//1900
					m²//8 Pièces//4 Chambres//1 Salle de bain//",10 000 000 DH
76,,,0,0,0,,
77,Appartement en vente à Souissi Terrasse et jardin,"Souissi à
				Rabat",0,0,0,"205
					m²//4 Pièces//3 Chambres//3 Salles de bains//Nouveau//1-5 ans//4ème
					étage//205
					m²//4 Pièces//3 Chambres//3 Salles de bains//Nouveau//1-5 ans//4ème
					étage//",4 500 000 DH
78,À vendre appart 4p à agdal,"Agdal à
				Rabat",0,0,0,"126
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//5-10 ans//2ème
					étage//126
					m²//4 Pièces//3 Chambres//2 Salles de bains//Nouveau//5-10 ans//2ème
					étage//",2 150 000 DH
79,Vente Appartement Rabat Souissi,"Souissi à
				Rabat",0,0,0,"204
					m²//5 Pièces//3 Chambres//1 Salle de bain//5ème
					étage//204
					m²//5 Pièces//3 Chambres//1 Salle de bain//5ème
					étage//",4 900 000 DH
80,Vente Appartement Rabat Hay Riad Prestigia,"Riyad à
				Rabat",0,0,0,"181
					m²//6 Pièces//3 Chambres//1 Salle de bain//6ème
					étage//181
					m²//6 Pièces//3 Chambres//1 Salle de bain//6ème
					étage//",3 100 000 DH
81,Vente Appartement Rabat Agdal,"Agdal à
				Rabat",0,0,0,"171
					m²//5 Pièces//3 Chambres//1 Salle de bain//5ème
					étage//171
					m²//5 Pièces//3 Chambres//1 Salle de bain//5ème
					étage//",2 500 000 DH
82,Vente Villa Rabat Souissi,"Souissi à
				Rabat",0,0,0,"1900
					m²//14 Pièces//4 Chambres//2 Salles de bains//Bon état//1900
					m²//14 Pièces//4 Chambres//2 Salles de bains//Bon état//",25 000 000 DH
83,Vente Villa Rabat Hay Riad,"Riyad à
				Rabat",0,0,0,"235
					m²//7 Pièces//4 Chambres//1 Salle de bain//235
					m²//7 Pièces//4 Chambres//1 Salle de bain//",6 500 000 DH
84,Vente Appartement Rabat Bas Agdal,"Agdal à
				Rabat",0,0,0,"34
					m²//2 Pièces//1 Chambre//1 Salle de bain//2ème
					étage//34
					m²//2 Pièces//1 Chambre//1 Salle de bain//2ème
					étage//",850 000 DH
85,Tres joli rez de jardin a saisir a prix imbattable,"Riyad à
				Rabat",0,0,0,"260
					m²//3 Pièces//4 Chambres//4 Salles de bains//Bon état//10-20 ans//260
					m²//3 Pièces//4 Chambres//4 Salles de bains//Bon état//10-20 ans//",4 100 000 DH
86,Magnifique villa au coeur du Souissi,"Souissi à
				Rabat",0,0,0,"2090
					m²//9 Pièces//6 Chambres//5 Salles de bains//Bon état//10-20 ans//2090
					m²//9 Pièces//6 Chambres//5 Salles de bains//Bon état//10-20 ans//",14 500 000 DH
87,Très Belle Opportunité: Villa à El Menzeh Souissi,"Souissi à
				Rabat",0,0,0,"667
					m²//8 Pièces//4 Chambres//4 Salles de bains//Bon état//1-5 ans//667
					m²//8 Pièces//4 Chambres//4 Salles de bains//Bon état//1-5 ans//",6 000 000 DH
88,Vente villa sur une grande avenue à Hay Riad,"Riyad à
				Rabat",0,0,0,"620
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//620
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//",8 500 000 DH
89,"Coquette villa à vendre à Riyad. 2 fac, 4 chambres. Habitable de suite, prix à saisir. De 695u","Riyad à
				Rabat",0,0,0,"318
					m²//7 Pièces//4 Chambres//3 Salles de bains//Nouveau//1-5 ans//",6 950 000 DH
90,Très belle Villa à Menzeh Souissi à Vendre,"Souissi à
				Rabat",0,0,0,"650
					m²//8 Pièces//3 Chambres//4 Salles de bains//Bon état//1-5 ans//650
					m²//8 Pièces//3 Chambres//4 Salles de bains//Bon état//1-5 ans//",4 700 000 DH
91,Villa plain pied à VENDRE situé à Soussi,"Quartier Des Ambassades à
				Rabat",0,0,0,"2000
					m²//8 Pièces//4 Chambres//4 Salles de bains//Bon état//10-20 ans//2000
					m²//8 Pièces//4 Chambres//4 Salles de bains//Bon état//10-20 ans//",12 000 000 DH
92,Villa à vendre superfiçie 2000m. Sur avenue bir kasem,"Souissi à
				Rabat",0,0,0,"2000
					m²//8 Pièces//4 Chambres//4 Salles de bains//Bon état//2000
					m²//8 Pièces//4 Chambres//4 Salles de bains//Bon état//",12 000 000 DH
93,Villa à vendre pour bureau au habitation,"Riyad à
				Rabat",1,0,0,"200
					m²//8 Pièces//4 Chambres//3 Salles de bains//Bon état//200
					m²//8 Pièces//4 Chambres//3 Salles de bains//Bon état//",4 400 000 DH
94,Une belle appartement en vente Haut standing ensoleillée toute la journée,"Riyad à
				Rabat",0,0,0,"206
					m²//6 Pièces//4 Chambres//3 Salles de bains//Nouveau//206
					m²//6 Pièces//4 Chambres//3 Salles de bains//Nouveau//",
95,Magnifique villa à vendre à Rabat. Souissi,"Souissi à
				Rabat",0,0,0,"2000
					m²//8 Pièces//6 Chambres//4 Salles de bains//Bon état//2000
					m²//8 Pièces//6 Chambres//4 Salles de bains//Bon état//",
96,Villa de luxe à vendre à Riyad. Surface totale 235 m². Climatisation,"Riyad à
				Rabat",0,0,0,"235
					m²//6 Pièces//4 Chambres//3 Salles de bains//Nouveau//235
					m²//6 Pièces//4 Chambres//3 Salles de bains//Nouveau//",6 500 000 DH
97,Vente villa de luxe à Hay Riyad,"Riyad à
				Rabat",0,0,0,"215
					m²//8 Pièces//5 Chambres//4 Salles de bains//Nouveau//1-5 ans//215
					m²//8 Pièces//5 Chambres//4 Salles de bains//Nouveau//1-5 ans//",5 700 000 DH
98,Maison de luxe à vendre àhayriad 950m,"Riyad à
				Rabat",0,0,0,"950
					m²//7 Pièces//5 Chambres//4 Salles de bains//Bon état//950
					m²//7 Pièces//5 Chambres//4 Salles de bains//Bon état//",8 000 000 DH
99,Villa d'angle commercial sur avenue abdel Rahim Bouabid,"Riyad à
				Rabat",0,1,0,"665
					m²//6 Pièces//5 Chambres//3 Salles de bains//Bon état//665
					m²//6 Pièces//5 Chambres//3 Salles de bains//Bon état//",
100,Villa de luxe à vendre à Riyad,"Riyad à
				Rabat",0,0,0,"335
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//335
					m²//7 Pièces//4 Chambres//4 Salles de bains//Bon état//",5 400 000 DH
101,Appartement à vendre sur hayriad proche mahj riad,"Riyad à
				Rabat",0,0,0,"123
					m²//4 Pièces//3 Chambres//2 Salles de bains//Bon état//123
					m²//4 Pièces//3 Chambres//2 Salles de bains//Bon état//",
102,Vente Appartement Rabat Souissi Orangeraie,"Souissi à
				Rabat",0,0,0,"145
					m²//5 Pièces//3 Chambres//1 Salle de bain//5ème
					étage//145
					m²//5 Pièces//3 Chambres//1 Salle de bain//5ème
					étage//",4 000 000 DH
103,Vente Appartement Rabat Hay Riad Prestigia,"Riyad à
				Rabat",0,0,0,"183
					m²//4 Pièces//2 Chambres//1 Salle de bain//Bon état//4ème
					étage//183
					m²//4 Pièces//2 Chambres//1 Salle de bain//Bon état//4ème
					étage//",2 650 000 DH
104,Vente Villa Rabat Souissi,"Souissi à
				Rabat",0,0,0,"2500
					m²//10 Pièces//4 Chambres//4 Salles de bains//Bon état//2500
					m²//10 Pièces//4 Chambres//4 Salles de bains//Bon état//",13 000 000 DH
105,Vente Villa Rabat Hay Riad,"Riyad à
				Rabat",0,0,0,"280
					m²//7 Pièces//3 Chambres//1 Salle de bain//Bon état//280
					m²//7 Pièces//3 Chambres//1 Salle de bain//Bon état//",6 700 000 DH
106,Vente Villa Rabat Souissi,"Souissi à
				Rabat",0,0,0,"4617
					m²//18 Pièces//7 Chambres//4 Salles de bains//Bon état//4617
					m²//18 Pièces//7 Chambres//4 Salles de bains//Bon état//",40 000 000 DH
